stop_pattern_id,stop_id,stop_sequence,timepoint
732_0,6016,8,0
732_0,6417,9,0
732_0,6418,10,0
732_0,6419,11,0
732_0,6125,12,0
732_0,6126,13,0
732_0,6127,14,0
732_0,6128,15,0
732_0,6129,16,0
732_0,6131,17,0
732_0,6132,18,0
732_0,6133,19,0
732_0,6136,20,0
732_0,6137,21,0
732_0,6139,22,0
732_0,6101,23,0
732_0,6140,24,0
732_0,6141,25,0
732_0,6142,26,0
732_0,6143,27,0
732_0,6144,28,0
732_0,6145,29,0
732_0,6146,30,0
732_0,6147,31,0
732_0,6149,32,0
732_0,6150,33,0
732_0,6151,34,0
732_0,6152,35,0
732_0,6153,36,1
732_0,6155,37,0
732_0,6156,38,0
732_0,6157,39,0
732_0,6158,40,1
634_0,3466,0,1
634_0,3468,1,0
634_0,3470,2,0
634_0,3610,3,0
634_0,3410,4,0
634_0,3412,5,0
634_0,3414,6,0
634_0,3416,7,0
634_0,3418,8,0
634_0,3420,9,0
634_0,3422,10,0
634_0,3424,11,0
634_0,3426,12,0
634_0,3428,13,0
634_0,3430,14,0
634_0,3432,15,0
634_0,3450,16,0
634_0,3434,17,0
634_0,3451,18,0
634_0,3972,19,0
634_0,3210,20,0
634_0,3212,21,0
634_0,3214,22,0
634_0,3216,23,0
634_0,3218,24,0
634_0,3234,25,0
634_0,3295,26,0
634_0,3239,27,0
634_0,3273,28,1
634_1,3212,0,1
634_1,3214,1,0
634_1,3216,2,0
634_1,3218,3,0
634_1,3234,4,0
634_1,3295,5,0
634_1,3239,6,0
634_1,3273,7,0
634_1,3900,8,0
634_1,3451,9,0
634_1,3435,10,0
634_1,3448,11,0
634_1,3452,12,0
634_1,3454,13,0
634_1,3456,14,0
634_1,3458,15,0
634_1,3460,16,0
634_1,3462,17,0
634_1,3464,18,0
634_1,3466,19,1
619_0,5104,0,1
619_0,4113,1,1
619_0,5102,2,1
619_0,5115,3,0
619_0,5116,4,0
619_0,5117,5,0
619_0,5118,6,0
619_0,5119,7,0
619_0,5120,8,0
619_0,5121,9,0
619_0,5123,10,0
619_0,5124,11,0
619_0,5125,12,0
619_0,5126,13,0
619_0,5127,14,0
619_0,5128,15,0
619_0,5129,16,0
619_0,5135,17,0
619_0,4136,18,0
619_0,4936,19,0
619_0,4935,20,0
619_0,4934,21,0
619_0,4932,22,0
619_0,4931,23,0
619_0,4930,24,0
619_0,4929,25,0
619_0,4928,26,0
619_0,4927,27,0
619_0,4926,28,0
619_0,4925,29,0
619_0,4924,30,0
619_0,4923,31,0
619_0,4922,32,0
619_0,4921,33,1
770_0,6018,0,1
770_0,6553,1,1
770_0,7223,2,0
770_0,7222,3,0
770_0,6010,4,1
770_0,6014,5,0
770_0,6015,6,0
770_0,6016,7,0
770_0,7918,8,0
770_0,7746,9,0
770_0,6748,10,0
770_0,6749,11,0
770_0,6750,12,0
770_0,6751,13,0
770_0,6752,14,0
770_0,6753,15,0
770_0,6754,16,0
770_0,6755,17,0
770_0,7732,18,0
770_0,7731,19,0
770_0,7730,20,0
770_0,7729,21,0
770_0,7728,22,0
770_0,7726,23,0
770_0,7725,24,0
770_0,7724,25,0
770_0,7723,26,0
770_0,7722,27,0
770_0,7721,28,0
770_0,7700,29,0
770_0,7719,30,0
770_0,6761,31,0
770_0,6762,32,0
770_0,6763,33,0
770_0,6764,34,0
770_0,6765,35,0
770_0,6766,36,0
770_0,6767,37,0
770_0,6768,38,0
770_0,6769,39,0
770_0,6770,40,0
770_0,6771,41,0
770_0,6772,42,0
770_0,6773,43,0
770_0,7774,44,1
770_1,7774,0,1
770_1,7773,1,0
770_1,7772,2,0
770_1,7771,3,0
770_1,7770,4,0
770_1,7769,5,0
770_1,7768,6,0
770_1,7767,7,0
770_1,7766,8,0
770_1,7764,9,0
770_1,7763,10,0
770_1,7762,11,0
770_1,7761,12,0
770_1,6720,13,0
770_1,6721,14,0
770_1,6722,15,0
770_1,6723,16,0
770_1,6724,17,0
770_1,6725,18,0
770_1,6726,19,0
770_1,6727,20,0
770_1,6728,21,0
770_1,6729,22,0
770_1,6730,23,0
770_1,6732,24,0
770_1,7755,25,0
770_1,7754,26,0
770_1,7753,27,0
770_1,7752,28,0
770_1,7751,29,0
770_1,7750,30,0
770_1,7749,31,0
770_1,7748,32,0
770_1,6746,33,0
770_1,6917,34,0
770_1,6918,35,0
770_1,7016,36,0
770_1,7015,37,0
770_1,7014,38,1
770_1,6553,39,1
770_1,6224,40,0
770_1,6018,41,1
853_1,9051,0,1
853_1,9052,1,0
853_1,9053,2,0
853_1,9054,3,0
853_1,9055,4,0
853_1,9056,5,0
853_1,9057,6,0
853_1,9058,7,0
853_1,9065,8,0
853_1,9066,9,0
853_1,9067,10,0
853_1,9068,11,0
853_1,9069,12,0
853_1,9070,13,0
853_1,9071,14,0
853_1,9072,15,0
853_1,9113,16,0
853_1,9114,17,0
853_1,9115,18,0
853_1,9101,19,0
853_1,9102,20,0
853_1,8122,21,0
853_1,8120,22,1
853_1,8118,23,0
853_1,9135,24,1
853_1,9136,25,1
853_1,8165,26,0
853_1,8164,27,0
853_1,8163,28,0
853_1,8161,29,1
853_1,8159,30,1
853_1,8158,31,0
853_1,8156,32,1
853_1,8152,33,1
501_0,1203,0,1
501_0,1292,1,0
501_0,1294,2,0
501_0,1194,3,0
501_0,1626,4,0
501_0,1515,5,1
501_0,1500,6,0
501_0,1637,7,0
501_0,1638,8,0
501_0,1522,9,0
501_0,1524,10,0
501_0,1526,11,0
501_0,1528,12,0
501_0,1530,13,0
501_0,1532,14,0
501_0,1534,15,0
501_0,1536,16,0
501_0,1538,17,0
501_0,1540,18,0
501_0,1542,19,0
501_0,1544,20,0
501_0,1546,21,0
501_0,1548,22,0
501_0,1550,23,0
501_0,1552,24,0
501_0,1554,25,0
501_0,1557,26,0
501_0,1559,27,0
501_0,1560,28,1
21_1,4396,0,1
21_1,4395,1,0
21_1,4394,2,0
21_1,4393,3,0
21_1,4392,4,0
21_1,4391,5,0
21_1,4390,6,0
21_1,4389,7,0
21_1,4388,8,0
21_1,4387,9,0
21_1,4386,10,0
21_1,4385,11,0
21_1,4384,12,0
21_1,4383,13,0
21_1,4382,14,0
21_1,4381,15,0
21_1,4320,16,0
21_1,4319,17,1
21_1,4918,18,0
21_1,4917,19,0
21_1,4916,20,0
21_1,4915,21,1
21_1,6906,22,0
21_1,6908,23,0
21_1,6909,24,0
21_1,7910,25,0
21_1,5514,26,0
21_1,5516,27,1
21_1,6212,28,0
21_1,6213,29,0
21_1,6214,30,0
21_1,6215,31,0
21_1,6216,32,0
21_1,6217,33,0
21_1,6218,34,0
21_1,6219,35,0
21_1,6220,36,0
21_1,6221,37,0
21_1,6553,38,0
21_1,6224,39,0
21_1,6027,40,0
21_1,6028,41,0
21_1,7035,42,1
21_0,7035,0,1
21_0,5000,1,1
21_0,5002,2,0
21_0,6910,3,0
21_0,7909,4,0
21_0,7908,5,0
21_0,7907,6,0
21_0,5914,7,0
21_0,5915,8,1
21_0,5916,9,0
21_0,5917,10,0
21_0,5918,11,0
21_0,5319,12,1
21_0,5380,13,0
21_0,5381,14,0
21_0,5382,15,0
21_0,5383,16,0
21_0,5384,17,0
21_0,5385,18,0
21_0,5386,19,0
21_0,5388,20,0
21_0,5389,21,0
21_0,5390,22,0
21_0,5391,23,0
21_0,5392,24,0
21_0,5393,25,0
21_0,5394,26,0
21_0,5395,27,0
21_0,5327,28,1
7_0,6000,0,1
7_0,5502,1,0
7_0,5506,2,0
7_0,5508,3,0
7_0,5510,4,0
7_0,6708,5,0
7_0,6710,6,0
7_0,6711,7,0
7_0,6712,8,0
7_0,6713,9,0
7_0,6714,10,0
7_0,6715,11,0
7_0,6716,12,0
7_0,6718,13,0
7_0,6719,14,0
7_0,6720,15,1
7_0,6721,16,0
7_0,6722,17,0
7_0,6723,18,0
7_0,6724,19,0
7_0,6725,20,0
7_0,6726,21,0
7_0,6727,22,0
7_0,6728,23,0
7_0,6729,24,0
7_0,6733,25,1
853_0,8120,0,1
853_0,8118,1,0
853_0,9135,2,1
853_0,9136,3,1
853_0,8165,4,0
853_0,8164,5,0
853_0,8163,6,0
853_0,9197,7,1
853_0,8161,8,1
853_0,8152,9,1
853_0,8163,10,0
853_0,8113,11,0
853_0,9158,12,0
853_0,9199,13,1
853_0,8106,14,0
853_0,8073,15,0
853_0,8072,16,0
853_0,8071,17,0
853_0,8070,18,0
853_0,8069,19,0
853_0,8068,20,0
853_0,8067,21,0
853_0,8066,22,0
853_0,8065,23,0
853_0,8064,24,0
853_0,8058,25,0
853_0,8057,26,0
853_0,8055,27,0
853_0,8054,28,0
853_0,8053,29,0
853_0,8052,30,1
501_1,1536,0,1
501_1,1538,1,0
501_1,1540,2,0
501_1,1542,3,0
501_1,1544,4,0
501_1,1546,5,0
501_1,1548,6,0
501_1,1550,7,0
501_1,1552,8,0
501_1,1554,9,0
501_1,1557,10,0
501_1,1559,11,0
501_1,1560,12,0
501_1,1562,13,0
501_1,1564,14,0
501_1,1566,15,0
501_1,1568,16,0
501_1,1570,17,0
501_1,1572,18,0
501_1,1574,19,0
501_1,1576,20,0
501_1,1578,21,0
501_1,1519,22,1
501_1,1596,23,0
501_1,1626,24,0
501_1,1515,25,1
7_1,7730,0,1
7_1,7729,1,0
7_1,7728,2,0
7_1,7726,3,0
7_1,7725,4,0
7_1,7724,5,0
7_1,7723,6,0
7_1,7722,7,0
7_1,7721,8,0
7_1,7700,9,1
7_1,7719,10,0
7_1,7718,11,0
7_1,7716,12,0
7_1,7715,13,0
7_1,7714,14,0
7_1,7713,15,0
7_1,7712,16,0
7_1,7711,17,0
7_1,7709,18,0
7_1,7708,19,0
7_1,5008,20,0
7_1,5010,21,0
7_1,5012,22,0
7_1,5011,23,0
7_1,5016,24,1
29_1,7720,0,1
29_1,7719,1,0
29_1,6791,2,0
29_1,6792,3,0
29_1,6793,4,0
29_1,6794,5,0
29_1,6796,6,0
29_1,7146,7,0
29_1,7145,8,0
29_1,7144,9,0
29_1,7143,10,0
29_1,7142,11,0
29_1,7141,12,0
29_1,7140,13,0
29_1,7101,14,0
29_1,7100,15,0
29_1,6153,16,1
29_1,6155,17,0
29_1,6156,18,0
29_1,6157,19,0
29_1,6960,20,1
29_1,7960,21,0
29_1,7959,22,0
29_1,7958,23,0
29_1,7956,24,0
29_1,6954,25,0
29_1,7955,26,1
29_1,7954,27,0
29_1,7953,28,0
29_1,7952,29,0
29_1,7951,30,0
29_1,7950,31,0
29_1,7949,32,0
29_1,7948,33,0
29_1,7947,34,0
29_1,7946,35,0
29_1,7942,36,0
29_1,7941,37,0
29_1,7920,38,0
29_1,7019,39,0
29_1,7018,40,0
29_1,7017,41,1
29_1,7016,42,0
29_1,7015,43,0
29_1,7014,44,0
29_1,7013,45,0
29_1,7012,46,0
29_1,5000,47,1
29_1,5002,48,0
29_1,5515,49,0
29_1,5006,50,0
29_1,5008,51,0
29_1,5010,52,0
29_1,5012,53,0
29_1,5011,54,0
29_1,5016,55,1
29_0,5500,0,1
29_0,5502,1,0
29_0,5506,2,0
29_0,5508,3,0
29_0,5510,4,0
29_0,5513,5,0
29_0,5514,6,0
29_0,5516,7,1
29_0,6012,8,0
29_0,6013,9,0
29_0,6014,10,0
29_0,6015,11,0
29_0,6016,12,0
29_0,6017,13,1
29_0,6019,14,0
29_0,6920,15,0
29_0,6941,16,0
29_0,6942,17,0
29_0,6946,18,0
29_0,6947,19,0
29_0,6948,20,0
29_0,6949,21,0
29_0,6950,22,0
29_0,6951,23,0
29_0,6952,24,0
29_0,6954,25,0
29_0,7955,26,1
29_0,7954,27,0
29_0,7953,28,0
29_0,6956,29,0
