from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
PORI2,2002,2,0,KPL__0__6416__RAIL__Rail_SaSu+Hol,230__0__403__TZM__301__1__301__1
UPPE,8579,2,240,HVL__0__3818__RAIL__Rail_SaSu+Hol,110__0__701__TZM__404__404
PARA2,1000,2,0,KPL__0__6422__RAIL__Rail_SaSu+Hol,260__0__707__UZM__116__4__116__4
2002,PORI2,2,0,60__0__101__MNM__3201__3201,KPL__0__6216__RAIL__Rail_MTuWThF-XHol
7720,6720,2,0,29__0__419__TZM__114__1__114__1,7__0__471__TZM__219__219
7720,7700,2,60,29__0__143__TZM__136__136,7__1__144__TZM__147__147
5915,5915,2,0,21__0__707__NBM__201__3__201__3,22__0__707__NBM__19__19
6733,6730,2,120,7__0__439__TZM__115__1__115__1,27__1__412__TZM__105__1__105__1
3081,3081,2,120,19__0__147__TZM__228__228,1__1__170__TZM__229__229
5915,5915,2,0,21__0__715__NBM__201__3__201__3,22__0__715__NBM__28__28
8165,WATE1,2,0,130__1__104__TZM__602__2__602__2,HVL__1__2611__RAIL__Rail_MTuWThF-XHol
7036,7036,2,120,28__1__112__NBM__1001__4__1001__4,2__0__151__NBM__22__2__22__2
7026,7224,2,240,12__1__102__NBM__80__80,2__0__327__NBM__81__81
UPPE,8579,2,240,HVL__0__3650__RAIL__Rail_MTuWThF-XHol,110__0__201__TZM__526__526
2003,PORI1,2,0,210__1__112__TZM__321__321,KPL__1__6223__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,210__1__112__TZM__321__1__321__1,KPL__1__6223__RAIL__Rail_MTuWThF-XHol
1501,WAIK,2,240,281__0__423__UZM__715__715,KPL__1__6461__RAIL__Rail_Sa
1501,WAIK,2,240,280__0__127__UZM__19__4__19__4,KPL__1__6301__RAIL__Rail_MTuWThF-XHol
7730,7730,2,120,27__0__107__TZM__121__121,7__1__150__TZM__106__3__106__3
8140,WATE1,2,0,160__1__426__TZM__601__1__601__1,HVL__1__3835__RAIL__Rail_SaSu+Hol
WATE2,9165,2,0,HVL__0__3842__RAIL__Rail_SaSu+Hol,130__0__447__TZM__404__1__404__1
WATE2,9165,2,0,HVL__0__3828__RAIL__Rail_SaSu+Hol,150__0__705__TZM__401__401
5915,5915,2,0,22__0__709__NBM__19__19,21__0__709__NBM__33__33
2003,PORI1,2,0,210__1__426__TZM__312__1__312__1,KPL__1__6459__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,210__1__724__TZM__305__305,KPL__1__6459__RAIL__Rail_SaSu+Hol
PORI1,2002,2,0,KPL__1__6241__RAIL__Rail_MTuWThF-XHol,60e__1__106__MNM__3201__3201
PORI1,2002,2,0,KPL__1__7205__RAIL__Rail_MTuWThF-XHol,60e__1__106__MNM__3201__3201
TREN2,9525,2,0,HVL__0__3850__RAIL__Rail_SaSu+Hol,114__1__418__TZM__504__1__504__1
3000,3000,2,120,1__0__737__TZM__205__205,60__0__711__MNM__1061__1061
5915,5915,2,0,22__0__717__NBM__28__28,21__0__717__NBM__4__4
6224,6224,2,240,2__1__158__NBM__43__3__43__3,12__0__121__NBM__52__2__52__2
6224,6224,2,240,2__1__156__NBM__17__3__17__3,12__0__121__NBM__52__2__52__2
8580,UPPE,2,240,110__1__194__TZM__511__1__511__1,HVL__1__3637__RAIL__Rail_MTuWThF-XHol
1501,WAIK,2,240,281__0__717__UZM__104__3__104__3,KPL__1__6449__RAIL__Rail_SaSu+Hol
1501,WAIK,2,240,281__0__417__UZM__719__719,KPL__1__6449__RAIL__Rail_SaSu+Hol
PORI2,2001,2,0,KPL__0__6244__RAIL__Rail_MTuWThF-XHol,220__0__145__TZM__303__2__303__2
1001,PARA1,2,0,250__0__103__UZM__5__4__5__4,KPL__1__6211__RAIL__Rail_MTuWThF-XHol
WATE2,9140,2,0,HVL__0__2610__RAIL__Rail_MTuWThF-XHol,170__0__105__TZM__410__1__410__1
8140,WATE1,2,0,170__0__103__TZM__604__2__604__2,HVL__1__2607__RAIL__Rail_MTuWThF-XHol
PORI1,2002,2,0,KPL__1__6323__RAIL__Rail_MTuWThF-XHol,60__1__150__MNM__3221__3221
PARA2,1001,2,240,KPL__0__6328__RAIL__Rail_MTuWThF-XHol,262__0__131__UZM__7__4__7__4
SILV,8416,2,240,HVL__0__2630__RAIL__Rail_MTuWThF-XHol,115__0__113__TZM__527__527
2003,PORI1,2,0,210__1__718__TZM__301__301,KPL__1__6447__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,210__1__420__TZM__307__1__307__1,KPL__1__6447__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,160__1__148__TZM__604__2__604__2,HVL__1__3621__RAIL__Rail_MTuWThF-XHol
9525,TREN1,2,0,114__0__405__TZM__502__1__502__1,HVL__1__3821__RAIL__Rail_SaSu+Hol
PORI2,2003,2,0,KPL__0__6424__RAIL__Rail_SaSu+Hol,220__1__412__TZM__309__1__309__1
WATE2,9165,2,0,HVL__0__3628__RAIL__Rail_MTuWThF-XHol,130__0__171__TZM__435__435
WATE2,9165,2,0,HVL__0__4614__RAIL__Rail_MTuWThF-XHol,130__0__171__TZM__435__435
7700,7720,2,30,7__1__448__TZM__115__1__115__1,29__1__414__TZM__207__1__207__1
6720,7720,2,120,7__0__447__TZM__217__1__217__1,29__1__414__TZM__207__1__207__1
1501,WAIK,2,240,280__0__137__UZM__6__4__6__4,KPL__1__6329__RAIL__Rail_MTuWThF-XHol
7720,7700,2,60,29__0__717__TZM__215__215,7__1__738__TZM__210__210
6224,6224,2,240,2__1__766__NBM__22__22,12__0__709__NBM__26__26
6733,6730,2,120,7__0__205__TZM__147__147,27__1__130__TZM__140__140
6733,6730,2,120,7__0__203__TZM__135__135,27__1__130__TZM__140__140
2002,PORI1,2,0,230__1__718__TZM__301__301,KPL__1__6451__RAIL__Rail_SaSu+Hol
2002,PORI1,2,0,230__1__422__TZM__308__1__308__1,KPL__1__6451__RAIL__Rail_SaSu+Hol
3081,3081,2,120,60__1__106__MNM__3041__3041,1__1__150__TZM__215__2__215__2
PORI2,2001,2,0,KPL__0__6440__RAIL__Rail_SaSu+Hol,220__0__429__TZM__311__311
2003,PORI1,2,0,226__0__447__TZM__309__1__309__1,KPL__1__6455__RAIL__Rail_SaSu+Hol
TAIT2,9251,2,0,HVL__0__3826__RAIL__Rail_SaSu+Hol,120__0__707__TZM__403__403
2003,PORI1,2,0,210__1__712__TZM__303__303,KPL__1__6435__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,210__1__414__TZM__308__1__308__1,KPL__1__6435__RAIL__Rail_SaSu+Hol
PARA2,1001,2,240,KPL__0__6324__RAIL__Rail_MTuWThF-XHol,262__0__127__UZM__26__4__26__4
8580,UPPE,2,240,110__1__168__TZM__503__2__503__2,HVL__1__3613__RAIL__Rail_MTuWThF-XHol
WAIK,1501,2,240,KPL__0__6440__RAIL__Rail_SaSu+Hol,290__0__419__UZM__754__1__754__1
7730,7730,2,120,27__0__127__TZM__140__140,7__1__210__TZM__135__135
3000,3000,2,120,1__0__167__TZM__150__1__150__1,60__0__131__MNM__3202__3202
7026,7224,2,240,12__1__126__NBM__24__3__24__3,2__0__215__NBM__45__3__45__3
9001,PETO1,2,0,150__1__142__TZM__406__2__406__2,MEL__1__5631__RAIL__Rail_MTuWThF-XHol
PORI2,2001,2,0,KPL__0__6224__RAIL__Rail_MTuWThF-XHol,226__0__111__TZM__309__2__309__2
PORI2,2001,2,0,KPL__0__6224__RAIL__Rail_MTuWThF-XHol,226__0__111__TZM__309__3__309__3
6720,7720,2,120,7__0__415__TZM__108__1__108__1,29__1__406__TZM__204__1__204__1
7700,7720,2,30,7__1__416__TZM__112__1__112__1,29__1__406__TZM__204__1__204__1
8580,UPPE,2,240,112__1__120__TZM__510__1__510__1,HVL__1__3607__RAIL__Rail_MTuWThF-XHol
PORI2,2003,2,0,KPL__0__6440__RAIL__Rail_SaSu+Hol,220__1__720__TZM__306__306
8251,TAIT1,2,0,120__1__142__TZM__418__1__418__1,HVL__1__2635__RAIL__Rail_MTuWThF-XHol
6224,6224,2,240,2__1__452__NBM__26__2__26__2,12__0__411__NBM__11__2__11__2
WAIK,1501,2,240,KPL__0__6428__RAIL__Rail_SaSu+Hol,290__0__705__UZM__150__2__150__2
5915,5915,2,0,21__0__413__NBM__29__1__29__1,22__0__413__NBM__31__2__31__2
7720,7700,2,60,17__1__116__TZM__141__141,7__1__136__TZM__147__147
8140,WATE1,2,0,170__0__425__TZM__602__1__602__1,HVL__1__3833__RAIL__Rail_SaSu+Hol
3000,3000,2,120,1__0__433__TZM__203__1__203__1,19__0__417__TZM__116__116
TAIT2,9251,2,0,HVL__0__3850__RAIL__Rail_SaSu+Hol,120__0__731__TZM__403__403
8580,UPPE,2,240,113__1__102__TZM__504__2__504__2,HVL__1__2617__RAIL__Rail_MTuWThF-XHol
3000,3000,2,120,1__0__127__TZM__108__2__108__2,60__0__111__MNM__3111__3111
3000,3000,2,120,1__0__125__TZM__210__2__210__2,60__0__111__MNM__3111__3111
1501,WAIK,2,240,290__0__717__UZM__153__1__153__1,KPL__1__6439__RAIL__Rail_SaSu+Hol
1501,WAIK,2,240,290__0__417__UZM__753__1__753__1,KPL__1__6439__RAIL__Rail_SaSu+Hol
WATE2,9140,2,0,HVL__0__2618__RAIL__Rail_MTuWThF-XHol,160__0__109__TZM__609__609
3081,3081,2,120,60__1__400__MNM__2091__2091,1__1__400__TZM__203__1__203__1
8580,UPPE,2,240,112__1__134__TZM__514__514,HVL__1__3641__RAIL__Rail_MTuWThF-XHol
UPPE,8579,2,240,HVL__0__3642__RAIL__Rail_MTuWThF-XHol,112__0__137__TZM__506__2__506__2
PORI2,2003,2,0,KPL__0__6438__RAIL__Rail_SaSu+Hol,220__1__718__TZM__307__307
PARA2,1001,2,240,KPL__0__6224__RAIL__Rail_MTuWThF-XHol,262__0__111__UZM__1__4__1__4
PORI2,2003,2,0,KPL__0__6220__RAIL__Rail_MTuWThF-XHol,220__1__108__TZM__302__2__302__2
2001,PORI1,2,0,226__0__137__TZM__315__315,KPL__1__6317__RAIL__Rail_MTuWThF-XHol
8165,WATE1,2,0,150__1__408__TZM__415__1__415__1,HVL__1__3823__RAIL__Rail_SaSu+Hol
PORI2,2003,2,0,KPL__0__6456__RAIL__Rail_SaSu+Hol,226__0__443__TZM__303__1__303__1
UPPE,8579,2,240,HVL__0__3832__RAIL__Rail_SaSu+Hol,110__0__425__TZM__513__1__513__1
WATE2,9165,2,0,HVL__0__3818__RAIL__Rail_SaSu+Hol,130__0__405__TZM__402__1__402__1
PARA2,1001,2,240,KPL__0__6236__RAIL__Rail_MTuWThF-XHol,262__0__115__UZM__11__4__11__4
5915,5915,2,0,21__0__223__NBM__200__2__200__2,22__0__225__NBM__19__3__19__3
8140,WATE1,2,0,160__1__150__TZM__607__607,HVL__1__3625__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,160__1__434__TZM__605__605,HVL__1__3843__RAIL__Rail_SaSu+Hol
4915,4915,2,0,22__1__412__NBM__31__2__31__2,21__1__412__NBM__29__1__29__1
WATE2,9140,2,0,HVL__0__2620__RAIL__Rail_MTuWThF-XHol,170__0__123__TZM__610__610
8580,UPPE,2,240,111__0__443__TZM__507__507,HVL__1__3851__RAIL__Rail_SaSu+Hol
PARA2,1001,2,240,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,261__0__137__UZM__20__4__20__4
6720,7720,2,120,7__0__487__TZM__110__1__110__1,29__1__426__TZM__105__1__105__1
7700,7720,2,30,7__1__488__TZM__221__221,29__1__426__TZM__105__1__105__1
PORI2,2002,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,230__0__135__TZM__321__321
PORI2,2002,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,230__0__135__TZM__321__1__321__1
UPPE,8579,2,240,HVL__0__3632__RAIL__Rail_MTuWThF-XHol,112__0__129__TZM__514__514
WATE2,9165,2,0,HVL__0__2618__RAIL__Rail_MTuWThF-XHol,130__0__109__TZM__416__1__416__1
5915,5915,2,0,22__0__431__NBM__31__2__31__2,21__0__431__NBM__20__2__20__2
9525,TREN1,2,0,114__0__407__TZM__507__507,HVL__1__3825__RAIL__Rail_SaSu+Hol
5915,5915,2,0,21__0__441__NBM__17__2__17__2,22__0__441__NBM__7__2__7__2
6733,6730,2,120,7__0__409__TZM__109__2__109__2,27__1__404__TZM__107__1__107__1
4915,4915,2,0,21__1__414__NBM__35__1__35__1,22__1__414__NBM__203__4__203__4
1001,PARA1,2,0,262__1__150__UZM__26__4__26__4,KPL__1__6345__RAIL__Rail_MTuWThF-XHol
9001,PETO1,2,0,154__0__107__TZM__403__2__403__2,MEL__1__5603__RAIL__Rail_MTuWThF-XHol
PORI2,2002,2,0,KPL__0__6460__RAIL__Rail_SaSu+Hol,236__0__719__TZM__306__306
PARA2,1000,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,250__0__141__UZM__7__4__7__4
PARA2,1000,2,0,KPL__0__6320__RAIL__Rail_MTuWThF-XHol,250__0__129__UZM__26__4__26__4
7700,7720,2,30,7__1__204__TZM__216__2__216__2,29__1__130__TZM__230__230
6720,7720,2,120,7__0__201__TZM__115__2__115__2,29__1__130__TZM__230__230
6720,7720,2,120,7__0__203__TZM__135__135,29__1__130__TZM__230__230
7700,7720,2,30,7__1__206__TZM__114__2__114__2,29__1__130__TZM__230__230
WATE2,9140,2,0,HVL__0__3862__RAIL__Rail_SaSu+Hol,170__0__725__TZM__405__405
PORI2,2001,2,0,KPL__0__8210__RAIL__Rail_MTuWThF-XHol,220__0__177__TZM__314__314
PORI2,2001,2,0,KPL__0__6328__RAIL__Rail_MTuWThF-XHol,220__0__177__TZM__314__314
3000,3000,2,120,1__0__787__TZM__204__204,19__0__743__TZM__108__108
1001,PARA1,2,0,260__1__112__UZM__13__4__13__4,KPL__1__6221__RAIL__Rail_MTuWThF-XHol
5915,5915,2,0,22__0__441__NBM__7__2__7__2,21__0__441__NBM__17__2__17__2
3081,3081,2,120,19__0__187__TZM__152__1__152__1,1__1__130__TZM__110__2__110__2
UPPE,8579,2,240,HVL__0__3868__RAIL__Rail_SaSu+Hol,110__0__751__TZM__501__501
WATE2,9165,2,0,HVL__0__3846__RAIL__Rail_SaSu+Hol,150__0__427__TZM__405__1__405__1
3081,3081,2,120,60__1__128__MNM__3051__3051,1__1__194__TZM__131__131
PORI2,2001,2,0,KPL__0__6428__RAIL__Rail_SaSu+Hol,210__0__407__TZM__306__1__306__1
8580,UPPE,2,240,110__1__420__TZM__506__1__506__1,HVL__1__3825__RAIL__Rail_SaSu+Hol
8580,UPPE,2,240,110__1__712__TZM__505__505,HVL__1__3825__RAIL__Rail_SaSu+Hol
2001,PORI1,2,0,220__0__725__TZM__306__306,KPL__1__6439__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,220__1__432__TZM__311__311,KPL__1__6439__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,220__1__724__TZM__304__304,KPL__1__6439__RAIL__Rail_SaSu+Hol
2001,PORI1,2,0,220__0__433__TZM__309__1__309__1,KPL__1__6439__RAIL__Rail_SaSu+Hol
PORI2,2003,2,0,KPL__0__6464__RAIL__Rail_SaSu+Hol,220__1__452__TZM__302__1__302__1
TAIT2,9251,2,0,HVL__0__4618__RAIL__Rail_MTuWThF-XHol,120__0__185__TZM__407__2__407__2
8580,UPPE,2,240,112__1__412__TZM__505__1__505__1,HVL__1__3839__RAIL__Rail_SaSu+Hol
9001,PETO1,2,0,154__0__109__TZM__403__2__403__2,MEL__1__5605__RAIL__Rail_MTuWThF-XHol
1001,PARA1,2,0,261__1__120__UZM__11__4__11__4,KPL__1__6301__RAIL__Rail_MTuWThF-XHol
WATE2,9140,2,0,HVL__0__3822__RAIL__Rail_SaSu+Hol,170__0__705__TZM__602__602
9001,PETO1,2,0,150__1__414__TZM__404__1__404__1,HVL__1__3831__RAIL__Rail_SaSu+Hol
9001,PETO1,2,0,150__1__708__TZM__401__401,HVL__1__3831__RAIL__Rail_SaSu+Hol
WATE2,9165,2,0,HVL__0__3622__RAIL__Rail_MTuWThF-XHol,130__0__165__TZM__409__2__409__2
SILV,8416,2,240,HVL__0__2624__RAIL__Rail_MTuWThF-XHol,115__0__111__TZM__506__2__506__2
3081,3081,2,120,19__0__145__TZM__223__223,1__1__162__TZM__210__2__210__2
UPPE,8579,2,240,HVL__0__3818__RAIL__Rail_SaSu+Hol,112__0__403__TZM__505__1__505__1
7700,7720,2,30,7__1__710__TZM__111__1__111__1,29__1__704__TZM__106__106
6720,7720,2,120,7__0__709__TZM__105__105,29__1__704__TZM__106__106
7720,6720,2,0,29__0__133__TZM__115__2__115__2,7__0__219__TZM__124__124
PORI2,2001,2,0,KPL__0__6464__RAIL__Rail_SaSu+Hol,210__0__425__TZM__312__1__312__1
6733,6730,2,120,7__0__725__TZM__111__1__111__1,27__1__712__TZM__113__113
8165,WATE1,2,0,130__1__130__TZM__601__2__601__2,HVL__1__2629__RAIL__Rail_MTuWThF-XHol
3000,3000,2,120,1__0__467__TZM__117__117,60__0__437__MNM__2102__2102
4915,4915,2,0,22__1__414__NBM__203__4__203__4,21__1__414__NBM__35__1__35__1
3000,3000,2,120,1__0__243__TZM__215__2__215__2,19__0__199__TZM__221__1__221__1
3000,3000,2,120,1__0__239__TZM__207__2__207__2,19__0__199__TZM__221__1__221__1
7026,7224,2,240,12__1__402__NBM__20__2__20__2,2__0__415__NBM__26__2__26__2
PETO2,9001,2,0,HVL__0__3840__RAIL__Rail_SaSu+Hol,154__0__413__TZM__413__413
6055,6017,2,240,1__1__508__TZM__211__1__211__1,23__0__431__TZM__109__2__109__2
WAIK,1501,2,240,KPL__0__6240__RAIL__Rail_MTuWThF-XHol,290__0__109__UZM__56__1__56__1
1501,WAIK,2,240,280__0__119__UZM__19__4__19__4,KPL__1__6225__RAIL__Rail_MTuWThF-XHol
PARA2,1001,2,240,KPL__0__6230__RAIL__Rail_MTuWThF-XHol,262__0__113__UZM__17__4__17__4
1501,WAIK,2,240,281__0__119__UZM__40__4__40__4,KPL__1__6317__RAIL__Rail_MTuWThF-XHol
PARA2,1001,2,240,KPL__0__6214__RAIL__Rail_MTuWThF-XHol,262__0__103__UZM__23__4__23__4
PORI2,2003,2,0,KPL__0__6450__RAIL__Rail_SaSu+Hol,220__1__438__TZM__303__1__303__1
7700,7720,2,30,7__1__746__TZM__111__1__111__1,29__1__722__TZM__209__209
6720,7720,2,120,7__0__745__TZM__107__107,29__1__722__TZM__209__209
2001,PORI1,2,0,226__0__453__TZM__307__1__307__1,KPL__1__6459__RAIL__Rail_SaSu+Hol
PORI2,2001,2,0,KPL__0__6448__RAIL__Rail_SaSu+Hol,226__0__437__TZM__303__1__303__1
WATE2,9140,2,0,HVL__0__3870__RAIL__Rail_SaSu+Hol,160__0__461__TZM__602__1__602__1
2001,PORI1,2,0,220__0__205__TZM__310__2__310__2,KPL__1__6349__RAIL__Rail_F-XHol
5915,5915,2,0,21__0__221__NBM__11__3__11__3,22__0__223__NBM__210__3__210__3
8165,WATE1,2,0,130__1__700__TZM__401__401,HVL__1__3811__RAIL__Rail_SaSu+Hol
8165,WATE1,2,0,130__1__402__TZM__406__1__406__1,HVL__1__3811__RAIL__Rail_SaSu+Hol
5915,5915,2,0,22__0__227__NBM__210__3__210__3,21__0__225__NBM__11__3__11__3
7026,7224,2,240,12__1__170__NBM__18__3__18__3,2__0__361__NBM__1__3__1__3
PORI1,2002,2,0,KPL__1__6301__RAIL__Rail_MTuWThF-XHol,60__1__128__MNM__3051__3051
3081,3081,2,120,60__1__402__MNM__2091__2091,1__1__406__TZM__210__1__210__1
4915,4915,2,0,22__1__226__NBM__210__3__210__3,21__1__220__NBM__11__3__11__3
2001,PORI1,2,0,220__0__727__TZM__303__303,KPL__1__6441__RAIL__Rail_SaSu+Hol
2001,PORI1,2,0,220__0__435__TZM__302__1__302__1,KPL__1__6441__RAIL__Rail_SaSu+Hol
3081,3081,2,120,60__1__436__MNM__2041__2041,1__1__474__TZM__209__1__209__1
3081,3081,2,120,60__1__114__MNM__3031__3031,1__1__168__TZM__219__1__219__1
2002,PORI2,2,0,60__0__131__MNM__3202__3202,KPL__0__6312__RAIL__Rail_MTuWThF-XHol
PORI2,2001,2,0,KPL__0__6424__RAIL__Rail_SaSu+Hol,210__0__703__TZM__307__307
3081,3081,2,120,60__1__112__MNM__3041__3041,1__1__162__TZM__210__2__210__2
8251,TAIT1,2,0,120__1__150__TZM__613__613,HVL__1__3601__RAIL__Rail_MTuWThF-XHol
PARA2,1000,2,0,KPL__0__6442__RAIL__Rail_SaSu+Hol,260__0__417__UZM__704__704
9001,PETO1,2,0,150__1__100__TZM__406__2__406__2,HVL__1__4601__RAIL__Rail_MTuWThF-XHol
PORI2,2003,2,0,KPL__0__6460__RAIL__Rail_SaSu+Hol,220__1__448__TZM__311__311
8251,TAIT1,2,0,120__1__420__TZM__409__1__409__1,HVL__1__3825__RAIL__Rail_SaSu+Hol
TAIT2,9251,2,0,HVL__0__4630__RAIL__Rail_MTuWThF-XHol,120__0__201__TZM__403__2__403__2
PETO2,9001,2,0,HVL__0__3814__RAIL__Rail_SaSu+Hol,150__0__401__TZM__405__1__405__1
1001,PARA1,2,0,250__0__153__UZM__41__4__41__4,KPL__1__6351__RAIL__Rail_MTuWThF-XHol
UPPE,8579,2,240,HVL__0__3646__RAIL__Rail_MTuWThF-XHol,110__0__197__TZM__511__1__511__1
7720,7700,2,60,17__1__138__TZM__232__232,7__1__210__TZM__135__135
1001,PARA1,2,0,262__1__132__UZM__20__4__20__4,KPL__1__6325__RAIL__Rail_MTuWThF-XHol
WATE2,9165,2,0,HVL__0__4616__RAIL__Rail_MTuWThF-XHol,130__0__173__TZM__605__1__605__1
2001,PORI1,2,0,220__0__461__TZM__303__1__303__1,KPL__1__6467__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,220__1__458__TZM__312__1__312__1,KPL__1__6467__RAIL__Rail_SaSu+Hol
8165,WATE1,2,0,130__1__122__TZM__427__427,HVL__1__2623__RAIL__Rail_MTuWThF-XHol
9001,PETO1,2,0,150__1__440__TZM__418__418,HVL__1__3863__RAIL__Rail_SaSu+Hol
PORI1,2002,2,0,KPL__1__6457__RAIL__Rail_SaSu+Hol,60__1__724__MNM__1042__1042
9416,SILV,2,240,115__0__109__TZM__514__514,HVL__1__2621__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,226__0__425__TZM__301__1__301__1,KPL__1__6433__RAIL__Rail_SaSu+Hol
9001,PETO1,2,0,154__0__101__TZM__403__2__403__2,HVL__1__4611__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__196__TZM__304__2__304__2,KPL__1__6347__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__196__TZM__304__3__304__3,KPL__1__6347__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__203__TZM__318__318,KPL__1__6347__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__203__TZM__318__1__318__1,KPL__1__6347__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__203__TZM__318__2__318__2,KPL__1__6347__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__203__TZM__318__3__318__3,KPL__1__6347__RAIL__Rail_MTuWThF-XHol
3000,3000,2,120,1__0__785__TZM__101__1__101__1,60__0__723__MNM__1042__1042
3081,3081,2,120,60__1__140__MNM__3112__3112,1__1__220__TZM__202__2__202__2
6733,6730,2,120,7__0__733__TZM__206__206,27__1__716__TZM__104__104
7026,7224,2,240,12__1__130__NBM__28__3__28__3,2__0__229__NBM__34__3__34__3
PORI2,2001,2,0,KPL__0__6230__RAIL__Rail_MTuWThF-XHol,226__0__115__TZM__319__319
PETO2,9001,2,0,HVL__0__4630__RAIL__Rail_MTuWThF-XHol,154__0__135__TZM__602__2__602__2
PETO2,9001,2,0,MEL__0__5644__RAIL__Rail_MTuWThF-XHol,154__0__135__TZM__602__2__602__2
1001,PARA1,2,0,260__1__706__UZM__116__4__116__4,KPL__1__6427__RAIL__Rail_SaSu+Hol
1001,PARA1,2,0,260__1__406__UZM__701__1__701__1,KPL__1__6427__RAIL__Rail_SaSu+Hol
2002,PORI1,2,0,236__1__426__TZM__305__1__305__1,KPL__1__6463__RAIL__Rail_SaSu+Hol
5915,5915,2,0,21__0__727__NBM__3__1__3__1,22__0__727__NBM__1__1__1__1
6733,6730,2,120,7__0__101__TZM__112__5__112__5,27__1__100__TZM__122__122
8251,TAIT1,2,0,120__1__444__TZM__419__419,HVL__1__3837__RAIL__Rail_SaSu+Hol
PORI2,2001,2,0,KPL__0__6416__RAIL__Rail_SaSu+Hol,220__0__751__TZM__302__302
2003,PORI1,2,0,220__1__190__TZM__303__2__303__2,KPL__1__6341__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__197__TZM__321__321,KPL__1__6341__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__197__TZM__321__1__321__1,KPL__1__6341__RAIL__Rail_MTuWThF-XHol
9001,PETO1,2,0,150__1__714__TZM__406__406,HVL__1__3843__RAIL__Rail_SaSu+Hol
9001,PETO1,2,0,150__1__426__TZM__418__418,HVL__1__3843__RAIL__Rail_SaSu+Hol
PARA2,1001,2,240,KPL__0__6310__RAIL__Rail_MTuWThF-XHol,261__0__121__UZM__18__4__18__4
2003,PORI1,2,0,210__1__118__TZM__306__2__306__2,KPL__1__6301__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,210__1__118__TZM__306__3__306__3,KPL__1__6301__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,210__1__106__TZM__315__315,KPL__1__8205__RAIL__Rail_MTuWThF-XHol
8165,WATE1,2,0,150__1__122__TZM__404__2__404__2,HVL__1__2631__RAIL__Rail_MTuWThF-XHol
3081,3081,2,120,19__0__147__TZM__228__228,1__1__168__TZM__219__1__219__1
3081,3081,2,120,19__0__709__TZM__217__217,1__1__722__TZM__207__207
1001,PARA1,2,0,262__1__134__UZM__7__4__7__4,KPL__1__6329__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,230__1__146__TZM__321__321,KPL__1__6347__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,230__1__146__TZM__321__1__321__1,KPL__1__6347__RAIL__Rail_MTuWThF-XHol
5915,5915,2,0,22__0__727__NBM__1__1__1__1,21__0__727__NBM__3__1__3__1
6224,6224,2,240,2__1__318__NBM__56__2__56__2,12__0__169__NBM__8__3__8__3
6224,6224,2,240,2__1__564__NBM__41__2__41__2,12__0__441__NBM__1__2__1__2
PARA2,1000,2,0,KPL__0__6242__RAIL__Rail_MTuWThF-XHol,250__0__123__UZM__11__4__11__4
9001,PETO1,2,0,154__0__139__TZM__613__613,MEL__1__5631__RAIL__Rail_MTuWThF-XHol
6224,6224,2,240,2__1__470__NBM__24__2__24__2,12__0__417__NBM__43__2__43__2
PARA2,1001,2,240,KPL__0__6226__RAIL__Rail_MTuWThF-XHol,261__0__113__UZM__23__4__23__4
UPPE,8579,2,240,HVL__0__3836__RAIL__Rail_SaSu+Hol,110__0__433__TZM__511__511
PORI2,2002,2,0,KPL__0__6342__RAIL__Rail_MTuWThF-XHol,236__0__137__TZM__320__320
PORI2,2002,2,0,KPL__0__8222__RAIL__Rail_MTuWThF-XHol,236__0__137__TZM__320__320
3000,3000,2,120,1__0__155__TZM__208__2__208__2,60__0__125__MNM__3202__3202
PARA2,1001,2,240,KPL__0__6238__RAIL__Rail_MTuWThF-XHol,261__0__117__UZM__16__4__16__4
